RANK,FARM /CWS,SCORE,WEIGHT (lb),FINAL BID ($/lb),TOTAL VALUE,COUNTRY,YEAR
1A,Santa Teresa,92.04,330.69,$83.00,"$27,447.27",Costa Rica,2024
1B,Santa Teresa,92.04,330.69,$84.00,"$27,777.96",Costa Rica,2024
2,El Cedro – Hacienda San Isidro Labrador,90.65,1223.56,$20.70,"$25,327.69",Costa Rica,2024
3,Quebrada Grande,90.46,793.66,$18.30,"$14,523.98",Costa Rica,2024
4,Hacienda Copey – Itadaki,89.50,760.59,$40.30,"$30,651.78",Costa Rica,2024
5,Río Blanco,88.69,628.32,$16.10,"$10,115.95",Costa Rica,2024
6,Don Cayito,88.62,760.59,$18.60,"$14,146.97",Costa Rica,2024
7,Volcan Azul Hacienda Colima,88.31,760.59,$16.00,"$12,169.44",Costa Rica,2024
8,San Martín,87.04,661.39,$17.10,"$11,309.77",Costa Rica,2024
1A,Finca Voo,91.19,231.49,$50.80,"$11,759.69",Costa Rica,2024
1B,Finca Voo,91.19,264.55,$52.00,"$13,756.60",Costa Rica,2024
2,Don Dario – Hacienda San Isidro Labrador,90.81,925.94,$25.20,"$23,333.69",Costa Rica,2024
3,Monte Llano Bonito El Kinkajou,90.42,760.59,$16.20,"$12,321.56",Costa Rica,2024
4,Fcj Volcan Azul,90.08,595.25,$35.10,"$20,893.28",Costa Rica,2024
5,El Bosque Geisha,88.62,661.39,$20.10,"$13,293.94",Costa Rica,2024
6,Fcj Volcan Azul – Cipresal,87.58,595.25,$17.00,"$10,119.25",Costa Rica,2024
1A,Don Cayito,93.62,$363.76,$82.30,"$29,937.45",Costa Rica,2024
1B,Don Cayito,93.62,$363.76,$80.10,"$29,137.18",Costa Rica,2024
2,La Torre,92.00,$595.25,$54.00,"$32,143.50",Costa Rica,2024
3,Don Joel,91.42,$892.87,$18.90,"$16,875.24",Costa Rica,2024
4,La Esmeralda,91.19,$628.32,$77.30,"$48,569.14",Costa Rica,2024
5,La Ele,89.04,"$1,223.56",$14.90,"$18,231.04",Costa Rica,2024
6,Don Elí,89.04,$661.39,$36.00,"$23,810.04",Costa Rica,2024
7,Don Mayo Tucanes,89.04,$959.01,$19.20,"$18,412.99",Costa Rica,2024
8,Quebrada Grande,88.96,$628.32,$23.10,"$14,514.19",Costa Rica,2024
9,La Bandera,88.81,$496.04,$40.00,"$19,841.60",Costa Rica,2024
10,Hacienda Copey,88.62,$760.59,$36.10,"$27,457.30",Costa Rica,2024
11,El Cedro – Hacienda San Isidro Labrador,88.58,"$1,223.56",$20.30,"$24,838.27",Costa Rica,2024
12,Pie San,88.42,$760.59,$15.40,"$11,713.09",Costa Rica,2024
13,El Chizo,88.35,$892.87,$15.50,"$13,839.49",Costa Rica,2024
14,Las Nubes,88.35,$694.46,$16.10,"$11,180.81",Costa Rica,2024
15,Don Mayo La Loma,88.35,$661.39,$30.30,"$20,040.12",Costa Rica,2024
16,Finca Voo,88.31,$628.32,$15.20,"$9,550.46",Costa Rica,2024
